sample_id,actual,prediction,correct,confidence
0,-5,-6.450183868408203,,
1,5,5.138448715209961,,
2,-5,-6.752712249755859,,
3,2,2.223234176635742,,
4,4,4.753239154815674,,
5,0,1.3073558807373047,,
6,-6,-5.9217753410339355,,
7,-6,-6.2852783203125,,
8,-5,-6.716823101043701,,
9,-7,-7.372456073760986,,
10,-5,-5.85161018371582,,
11,4,4.992077350616455,,
12,-7,-8.350101470947266,,
13,8,7.636441707611084,,
14,6,6.729896545410156,,
15,4,6.128205299377441,,
16,-4,-4.159891128540039,,
17,-1,-0.8778011798858643,,
18,-3,-3.709101915359497,,
19,9,9.392807960510254,,
20,-4,-4.566098690032959,,
21,4,4.679755210876465,,
22,-9,-9.758087158203125,,
23,-2,-2.7617294788360596,,
24,-17,-16.932310104370117,,
25,4,4.783725738525391,,
26,3,5.5501885414123535,,
27,10,10.128063201904297,,
28,8,8.747806549072266,,
29,10,9.653749465942383,,
30,1,2.7025930881500244,,
31,-3,-3.0063955783843994,,
32,-1,-0.5696313977241516,,
33,3,2.7743475437164307,,
34,1,2.0505387783050537,,
35,-5,-5.116116523742676,,
36,-1,-0.7679237127304077,,
37,-11,-12.232619285583496,,
38,-7,-7.91500997543335,,
39,2,1.8725727796554565,,
40,7,7.381351470947266,,
41,0,1.549925446510315,,
42,11,11.385119438171387,,
43,3,3.295245409011841,,
44,-3,-3.873363733291626,,
45,-5,-5.196948051452637,,
46,5,4.506963729858398,,
47,-5,-5.082071304321289,,
48,10,10.626561164855957,,
49,-3,-4.582454681396484,,
50,9,9.462069511413574,,
51,5,5.8105034828186035,,
52,1,2.395721673965454,,
53,5,5.6421709060668945,,
54,5,5.752580642700195,,
55,6,5.447715759277344,,
56,0,1.108895182609558,,
57,-4,-4.596806526184082,,
58,-7,-8.575077056884766,,
59,4,5.74547815322876,,
60,5,6.224023818969727,,
61,-7,-6.930315017700195,,
62,-4,-4.676046848297119,,
63,-1,-1.3202126026153564,,
64,-4,-4.530013561248779,,
65,5,5.12038516998291,,
66,4,3.4939606189727783,,
67,6,6.0670881271362305,,
68,0,0.6692132949829102,,
