sample_id,actual,prediction,correct,confidence
0,1,1.3368104696273804,,
1,-1,0.12042184174060822,,
2,0,-0.21032178401947021,,
3,0,0.03334946930408478,,
4,5,0.8136300444602966,,
5,-2,-0.30239760875701904,,
6,-5,-1.9777706861495972,,
7,-1,-1.1810859441757202,,
8,0,-0.46700090169906616,,
9,0,-1.665380597114563,,
10,-12,-3.47220778465271,,
11,3,0.26445281505584717,,
12,0,0.3204749822616577,,
13,-4,-0.6499362587928772,,
14,2,0.8676268458366394,,
15,7,1.9559062719345093,,
16,-4,-2.0977799892425537,,
17,9,2.257575273513794,,
18,-5,-1.6791585683822632,,
19,3,0.12783469259738922,,
20,-1,-0.7514834403991699,,
21,-4,-0.7712075710296631,,
22,0,-0.34621304273605347,,
23,-11,-3.6461007595062256,,
24,0,-0.8443874716758728,,
25,-6,-1.8050817251205444,,
26,-4,-1.7374414205551147,,
27,-5,-0.7673843502998352,,
28,-2,-1.6862653493881226,,
29,-1,-0.2604740262031555,,
30,-6,-1.5110454559326172,,
31,-5,-2.2726452350616455,,
32,4,1.69515061378479,,
33,13,4.307661533355713,,
34,-9,-2.9852919578552246,,
35,0,-1.114744782447815,,
36,6,2.319021463394165,,
37,7,2.306962251663208,,
38,2,0.26331400871276855,,
39,0,0.17451433837413788,,
40,1,-0.011687763035297394,,
41,0,-0.6975361704826355,,
42,-2,0.29581207036972046,,
43,4,2.158952474594116,,
44,-5,-1.8181737661361694,,
45,0,-0.6732091307640076,,
46,4,1.5616188049316406,,
47,1,0.062483713030815125,,
48,0,0.5154708027839661,,
49,0,0.8188738226890564,,
50,4,-0.3790174722671509,,
51,-7,-1.672331690788269,,
52,-1,0.11716802418231964,,
53,-1,-1.6576749086380005,,
54,0,-0.4282381534576416,,
55,0,-0.7428213357925415,,
56,1,-0.6436067819595337,,
57,0,-1.0419652462005615,,
58,-2,-0.6689218282699585,,
59,-8,-2.216888904571533,,
60,0,-0.5396756529808044,,
61,4,0.928076446056366,,
62,2,0.553411066532135,,
63,0,-0.00413629412651062,,
64,-3,-1.1000502109527588,,
65,0,0.10827656090259552,,
66,-5,-1.0614832639694214,,
67,0,0.5097485184669495,,
